gene_symbol,clozapine,olanzapine,risperidone,haloperidol,aripiprazole,quetiapine,chlorpromazine,ziprasidone
DRD2,6.982345580304084,7.699513552156626,8.414575898178345,8.809894379144197,8.795880017344075,6.509999358109048,8.457176355851573,8.530740137411755
DRD3,6.496209316942819,7.356659515322535,7.869964306007462,8.200659450546418,8.400007822415901,6.43590702663815,8.376233999866068,8.142667503568731
HTR1A,6.844663962534938,5.565431095965801,6.599997654072045,5.498269733945246,8.203356966489771,6.638272163982407,6.171984935776023,8.602059991327963
HTR2A,8.040005161671584,8.397940008672037,9.301029995663981,6.920818753952375,8.045757490560675,6.920402953422224,8.229147988357855,9.522878745280337
HTR2B,8.143875555757699,7.920818753952375,7.700057099977233,5.8843894883257,8.899974269892137,6.866780543267506,7.2839966563652006,8.79997073344623
HTR2C,7.93305498300716,8.074370825640463,7.679853713888946,5.333951161111816,7.019996628416253,5.762205006726077,7.522878745280337,8.886056647693163
HRH1,8.744727494896694,8.504386962153752,7.59287620213404,6.356547323513812,7.43176655476708,8.0,8.540010122145844,7.327902142064282
CHRM1,8.675663899801796,8.163951071032141,5.552841968657781,5.795880017344075,,6.399996913372259,7.299489385395667,5.292429823902063
CHRM3,7.384775539310863,7.040460953811963,,,,,7.356547323513812,
ADRA1A,7.721246399047171,7.221848749616356,8.523845995168937,7.939713034397075,7.585026652029182,7.349485002168009,,8.221848749616356
