gene_symbol,clozapine,olanzapine,risperidone,haloperidol,aripiprazole,quetiapine,chlorpromazine,ziprasidone
DRD2,6.900008766455315,7.699513552156626,8.229147988357855,8.725633361200924,8.946395015176066,6.509999358109048,8.630042392653946,8.593209505715905
DRD3,6.419576732042858,7.346787486224656,7.844663962534938,8.200659450546418,8.400007822415901,6.494850021680094,8.290683656322967,8.142667503568731
HTR1A,6.84926796342835,5.621605900615941,6.599997654072045,5.443697499232712,8.2518119729938,6.69149982943955,,8.65051499783199
HTR2A,8.040005161671584,8.397940008672037,9.301029995663981,6.920818753952375,8.060480747381382,6.919987152892072,8.21455931455686,9.4089353929735
HTR2B,8.32135281898627,8.06039469735412,7.618829551039139,,9.171835884562425,6.832749601414239,7.342002239390551,8.79997073344623
HTR2C,7.886056647693163,8.0,7.789913991890542,5.139999976065226,7.020224126856079,5.77642098432889,7.51999305704285,8.886056647693163
HRH1,8.744727494896694,8.6259059864969,7.486782399932061,6.356547323513812,7.43176655476708,8.0,8.371611069949688,7.327902142064282
CHRM1,8.47234906782628,8.0,5.552841968657781,5.795880017344075,,6.399996913372259,6.900008766455315,5.292429823902063
CHRM3,7.0,7.0,,,,,,
ADRA1A,7.721246399047171,7.221848749616356,8.523845995168937,7.939713034397075,7.585026652029182,7.349485002168009,,8.221848749616356
